Vessel Name,IMO Number,Source
KUM UN SAN,8720436,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
UN RYUL,8514409,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
EVER GLORY,8909915,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
UL JI BONG 6,9114555,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
CHON MYONG 1,8712362,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
NAM SAN 8,8122347,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
HAP JANG GANG 6,9066540,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
CHON MA SAN,8660313,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
AN SAN 1,7303803,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
KUM GANG 3,8966535,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
YU PHYONG 5,8605026,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SAM JONG 1,8405311,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SAM JONG 2,7408873,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SAM MA 2,8106496,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
YU JONG 2,8604917,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PAEK MA,9066978,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
JI SONG 6,8898740,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
JI SONG 8,8503228,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
WOORY STAR,8408595,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PO CHON,8848276,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SONG WON,8613360,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
TONG HUNG 5,8151415,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
YU SON,8691702,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
HUA FU,9020003,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ORIENTAL TREASURE,9115028,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
HAO FAN 2,8747604,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
HAO FAN 6,8628597,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
XIN GUANG HAI,9004700,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ASIA BRIDGE 1,8916580,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
DONG FENG 6,9008201,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
KOTI,9417115,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
YUK TUNG,9030591,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PATRIOT,9003550,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
NEPTUN,8404991,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BELLA,8808264,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BOGATYR,9085730,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PARTIZAN,9113020,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SEVASTOPOL,9235127,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
DORITA,8605234,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
GILDA,9367982,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
KADOS,9137258,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
KASMA,8721351,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
NARDIS,9137246,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PARAND,9118551,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PARIN,9076478,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PARMIS,9245316,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PATRIS,9137210,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SABRINA,8215742,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SANIA,9367994,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SARINA,8203608,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SARIR,9368003,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SOMIA,9368015,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
TARADIS,9245304,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
VIANA,9010723,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
VISTA,9010711,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
AAJ,8984484,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
AYNAZ,9683570,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
